Text,Sentiment
Other than doing the actual coding I have been mostly able to help where it matters the most during the final stages of the project which is to actually put it all together. Doing so does require a lot of expertise in practical manufacturing and prototyping where my previous wood workshop experience is helpful in not only getting the prototype finished but also teaching other group members how to use the tools available in the makerspace wood workshop. I was also the one mostly responsible for ordering things on behalf of William or Mariam when they requested some materials to account for the ever evolving nature of the project and its specifics. Head of manufacturing and materials selection. De facto accountant (keeping tabs on the budget).,Neutral
"Zihe has been very receptive of the changes made to the design throughout the entire project process and always keeps the CAD file up to date to account for any changes in design or implementation of features as we progress through the project. He was also jointly responsible with Mariam with the presentations, contributing his portion of the project (CAD files, technical notes, etc) and would often confide with other members to ensure transparency and that he got the right message both ways around. Head of product and technical design.",Positive
"Mariam has been extremely helpful in the record keeping and documentation of the entire project, being always on top of things such as presentations, gantt charts, and other relevant paperwork that is related to the project whenever she is not occupied by helping the team during makerspace meet ups. Encourages transparency by keeping in touch with everyone on the team so all members are properly informed. Head of operations and de facto HR management.",Positive
He was able to help the programming team members test and assist in solving some unknown problems while they were debugging the code. He gets along well with the group and actively attends every meeting.,Positive
He is very eager to complete the entire project and actively participates in every meeting. He successfully completed the difficult part of the project in the recent meeting.,Positive
"I was able to help the group troubleshoot and successfully identify the problem many times when the hardware failed. I was able to get to the open lab promptly when a programming partner had a difficult emergency problem. In addition, I have helped my programming partner modify and draw flowcharts of code.",Positive
He is calm and collected when programming problems are encountered and calms the group down when everyone is anxious. He was able to make good use of the time in each lab to complete the tasks as much as possible.,Positive
"William has a strong individual ability and does his job very well. He has a good relationship with all his fellow employees. They all assist each other when needed. He encourages people to work together to achieve common goals. He is very helpful and a good listener, offering his opinion on others' points of view and is open to suggestions from others. He enthusiastically handles all tasks assigned to him and also takes on additional tasks.",Positive
Ivan is the leader of the group and assigns appropriate tasks to his teammates. He creates a cooperative team to complete projects at a faster pace. He always helps his colleagues who are having difficulties in their work. He is concerned that each team member is assigned the task that is best for them. He has a wide range of skills to complete tasks very well. He has good relationships with all of his peers. He is constantly looking for new ideas and ways to improve efficiency. He creates an exciting atmosphere for his team: one in which new ideas are rewarded and encouraged.,Positive
I do the CAD design and can always finish the task on time and great performance. I am enthusiastic and motivated. I have many ideas and always communicate to others. I am happy to help and often help my teammates.,Positive
Mariam is always there to help colleagues who are having trouble at work. She will help other employees even when not asked to do so. She connects her employees well and creates a team-first environment. She encourages people to work together for a common goal. She is a great communicator. She is very good at management and our project schedule has been completed on time every step of the way under her management. She is positive and constructive and responds very positively to others' ideas.,Positive
"It's been great working with Celine, she's a great support and she always helps in sharing the work and the tasks as a team.",Positive
"I have been doing my share of work as we divided the responsibilities, it has become easier to achieve our benchmarks early with no difficulty.",Neutral
"It's been great working with Emma, she's a great support and she always helps in sharing the work and provides us with many ideas for the project.",Positive
"Ntim has been doing well at keeping on top of work, and has often been offering to work on different parts of the project and has been communicating well with the team.",Positive
I spent like 7 hours the week of the benchmark alone in the lab working,Neutral
Mihir is always helpful and has a lot of knowledge in VEX robots,Positive
